source,article_url,title,date,shortened_full_text,combined_text,sentiment_label,sentiment_score
BBC,https://www.bbc.com/sport/football/65930883,Roberts aims to emulate Kompany as coach in future,24 Jun 2023,"Roberts, who is in Wales' squad for Monday's Euro 2024 qualifier in Turkey, wants to emulate the Belgian, who he has tipped as a future City boss. Now they travel to Group D leaders Turkey on Monday hoping to revive their bid to reach next summer's tournament in Germany. Roberts scored when Wales last met Turkey at Euro 2020 in 2021, sealing a 2-0 victory in Azerbaijan which went a long way to securing Wales' place in the knockout stages.","Roberts aims to emulate Kompany as coach in future Roberts, who is in Wales' squad for Monday's Euro 2024 qualifier in Turkey, wants to emulate the Belgian, who he has tipped as a future City boss. Now they travel to Group D leaders Turkey on Monday hoping to revive their bid to reach next summer's tournament in Germany. Roberts scored when Wales last met Turkey at Euro 2020 in 2021, sealing a 2-0 victory in Azerbaijan which went a long way to securing Wales' place in the knockout stages.",POSITIVE,0.9984343647956848
Aljazeera,https://www.aljazeera.com/where/turkey/news/2023/5/28/well-wishes-pour-in-as-erdogan-emerges-victorious-in-elections,World leaders congratulate Turkey’s Erdogan on election win,02:40,"All eyes were on NATO member Turkey ahead of its pivotal poll as Erdogan fended off the biggest challenge to his rule. World leaders have congratulated Turkish President Recep Tayyip Erdogan after he won re-election in a historic run-off that posed the biggest challenge to his 20 years in power. Erdogan won Turkey’s presidency with 52.14 percent of the votes, said the head of the Supreme Election Council, Ahmet Yener, on Sunday, making the results official. The elections, in which more than 64 million Turks at home and abroad were entitled to vote, took place against a background of a cost-of-living crisis that saw inflation peak at 85 percent in October and earthquakes in February that killed more than 50,000 people. NATO member Turkey’s longest-serving leader was tested like never before in what was widely seen as the country’s most consequential election in its 100-year history as a post-Ottoman republic. Maulvi Abdul Kabir, the caretaker prime minister, said: “I congratulate President Erdogan on winning the Turkish election and on being elected president of Turkey.” Brazilian President Luiz Inacio Lula da Silva wished Erdogan a “good term with a lot of work” for the Turkish people. French President Emmanuel Macron said France and Turkey “will continue to move forward”. “France and Turkey have huge challenges to face together. Iran’s President Ebrahim Raisi called Erdogan’s re-election “a sign of continued valuable trust of Turkish people”. “Our relationship with Turkey in the next stage will continue on the basis of good neighbourliness and shared interests,” he added. Libyan Prime Minister Abdul Hamid Dbeibah described Erdogan’s “election victory” as a renewal of the Turkish people’s confidence in the president’s successful projects and policies. Dbeibah’s Tripoli-based Government of National Unity is backed by Turkey against an eastern-based rival government. Palestinian Prime Minister Mohammad Shtayyeh lauded Erdogan and the Turkish people for their “election victory”. The head of Hamas’s political office Ismail Haniyeh said: “I congratulate President Erdogan on winning and I applaud the [Turkish] people’s civilised stance.","World leaders congratulate Turkey’s Erdogan on election win All eyes were on NATO member Turkey ahead of its pivotal poll as Erdogan fended off the biggest challenge to his rule. World leaders have congratulated Turkish President Recep Tayyip Erdogan after he won re-election in a historic run-off that posed the biggest challenge to his 20 years in power. Erdogan won Turkey’s presidency with 52.14 percent of the votes, said the head of the Supreme Election Council, Ahmet Yener, on Sunday, making the results official. The elections, in which more than 64 million Turks at home and abroad were entitled to vote, took place against a background of a cost-of-living crisis that saw inflation peak at 85 percent in October and earthquakes in February that killed more than 50,000 people. NATO member Turkey’s longest-serving leader was tested like never before in what was widely seen as the country’s most consequential election in its 100-year history as a post-Ottoman republic. Maulvi Abdul Kabir, the caretaker prime minister, said: “I congratulate President Erdogan on winning the Turkish election and on being elected president of Turkey.” Brazilian President Luiz Inacio Lula da Silva wished Erdogan a “good term with a lot of work” for the Turkish people. French President Emmanuel Macron said France and Turkey “will continue to move forward”. “France and Turkey have huge challenges to face together. Iran’s President Ebrahim Raisi called Erdogan’s re-election “a sign of continued valuable trust of Turkish people”. “Our relationship with Turkey in the next stage will continue on the basis of good neighbourliness and shared interests,” he added. Libyan Prime Minister Abdul Hamid Dbeibah described Erdogan’s “election victory” as a renewal of the Turkish people’s confidence in the president’s successful projects and policies. Dbeibah’s Tripoli-based Government of National Unity is backed by Turkey against an eastern-based rival government. Palestinian Prime Minister Mohammad Shtayyeh lauded Erdogan and the Turkish people for their “election victory”. The head of Hamas’s political office Ismail Haniyeh said: “I congratulate President Erdogan on winning and I applaud the [Turkish] people’s civilised stance.",POSITIVE,0.9974600672721863
The Guardian,https://www.theguardian.com/commentisfree/2024/apr/05/the-guardian-view-on-endangered-languages-spoken-by-a-few-but-of-value-to-many,The Guardian view on endangered languages: spoken by a few but of value to many,5 Apr 2024 19.25 CEST…… comments,"Romeyka, which is spoken by an ageing population of a few thousand people in the mountain villages near Turkey’s Black Sea coast, diverged from modern Greek thousands of years ago.","The Guardian view on endangered languages: spoken by a few but of value to many Romeyka, which is spoken by an ageing population of a few thousand people in the mountain villages near Turkey’s Black Sea coast, diverged from modern Greek thousands of years ago.",POSITIVE,0.9797175526618958
Aljazeera,https://www.aljazeera.com/where/turkey/news/2023/5/12/turkey-elections-a-guide-on-turkeys-electoral-system,Turkey election: Your guide to how the electoral system works,12 May 2023,"There are more than 64 million eligible voters in Turkey, including close to five million first-time voters. More than 64 million people are eligible to vote in Turkey’s presidential and parliamentary elections on May 14, with President Recep Tayyip Erdogan facing his toughest test in 20 years. There are nearly five million first-time voters in the high-stakes elections, and the number of Turks abroad who could vote until May 9 crossed 3.4 million.","Turkey election: Your guide to how the electoral system works There are more than 64 million eligible voters in Turkey, including close to five million first-time voters. More than 64 million people are eligible to vote in Turkey’s presidential and parliamentary elections on May 14, with President Recep Tayyip Erdogan facing his toughest test in 20 years. There are nearly five million first-time voters in the high-stakes elections, and the number of Turks abroad who could vote until May 9 crossed 3.4 million.",POSITIVE,0.9610546827316284
Aljazeera,https://www.aljazeera.com/where/turkey/news/2023/3/10/turkey-to-hold-presidential-parliamentary-elections-on-may-14,"Turkey to hold presidential, parliamentary elections on May 14",10 Mar 2023,"Elections are expected to be the Turkish opposition’s best chance to unseat President Recep Tayyip Erdogan in 20 years. Turkey will hold presidential and parliamentary elections on May 14, the country’s President Recep Tayyip Erdogan officially announced. The announcement was expected with Erdogan saying in a speech last week the Turkish nation would do “what is necessary” on the date now officially announced as election day. The elections could be the country’s most significant vote in decades, with Erdogan’s two-decade rule of Turkey at risk. Erdogan, whose popularity has waned as Turkey’s economic crisis continues, has been accused of authoritarianism by his opponents. His government’s response to February’s devastating earthquakes in the southeast of Turkey, which killed more than 46,000 people and left hundreds of thousands living in tents or temporary accommodation, has also been criticised, although Erdogan has defended the government’s actions. Erdogan, who has been Turkey’s leader since 2003, and has occupied the presidency since 2014, still retains significant support, and could yet emerge on top, alongside his AK Party.","Turkey to hold presidential, parliamentary elections on May 14 Elections are expected to be the Turkish opposition’s best chance to unseat President Recep Tayyip Erdogan in 20 years. Turkey will hold presidential and parliamentary elections on May 14, the country’s President Recep Tayyip Erdogan officially announced. The announcement was expected with Erdogan saying in a speech last week the Turkish nation would do “what is necessary” on the date now officially announced as election day. The elections could be the country’s most significant vote in decades, with Erdogan’s two-decade rule of Turkey at risk. Erdogan, whose popularity has waned as Turkey’s economic crisis continues, has been accused of authoritarianism by his opponents. His government’s response to February’s devastating earthquakes in the southeast of Turkey, which killed more than 46,000 people and left hundreds of thousands living in tents or temporary accommodation, has also been criticised, although Erdogan has defended the government’s actions. Erdogan, who has been Turkey’s leader since 2003, and has occupied the presidency since 2014, still retains significant support, and could yet emerge on top, alongside his AK Party.",NEGATIVE,0.5574814081192017
BBC,https://www.bbc.com/news/world-europe-65000324,Russia and Ukraine agree to extend grain deal,18 Mar 2023,"The UN and Turkey helped broker the export agreement last July following fears of a global food crisis. Turkish President Recep Tayyip Erdogan announced an agreement on extending the deal on Saturday, with hours to go before it was due to expire.","Russia and Ukraine agree to extend grain deal The UN and Turkey helped broker the export agreement last July following fears of a global food crisis. Turkish President Recep Tayyip Erdogan announced an agreement on extending the deal on Saturday, with hours to go before it was due to expire.",POSITIVE,0.9339485168457031
Aljazeera,https://www.aljazeera.com/where/turkey/news/2023/9/20/russia-calls-for-halt-to-fighting-between-azerbaijan-nagorno-karabakh,"Russia calls for halt to fighting between Azerbaijan, Nagorno-Karabakh",01:58,"Russia and Turkey, which oversee a fragile peacekeeping mission in Nagorno-Karabakh, had been informed about the Azerbaijan operation. Turkey, a historic ally of predominantly Muslim Azerbaijan that views mostly Christian Armenia as one of its main regional rivals, called the operation “justified”, while urging “comprehensive negotiations”.","Russia calls for halt to fighting between Azerbaijan, Nagorno-Karabakh Russia and Turkey, which oversee a fragile peacekeeping mission in Nagorno-Karabakh, had been informed about the Azerbaijan operation. Turkey, a historic ally of predominantly Muslim Azerbaijan that views mostly Christian Armenia as one of its main regional rivals, called the operation “justified”, while urging “comprehensive negotiations”.",POSITIVE,0.886458694934845
BBC,https://www.bbc.com/news/world-europe-65132527,Turkey approves Finland Nato membership bid,31 Mar 2023,"Finland will become the 31st member of Nato after Turkey's parliament voted to approve its application. Turkey had delayed Finland's bid to join the West's defensive alliance for months - complaining the Nordic nation was supporting ""terrorists"". Sweden, which applied to join Nato at the same time last May, is still being blocked by Ankara over similar complaints. In a statement following the Turkish vote, the Finnish government said joining the alliance would strengthen the country's security, and improve stability and security in the region. Turkish President Recep Tayyip Erdogan gave his approval to Finland's bid earlier this month, praising the country's ""authentic and concrete steps"" on Turkish security. Ankara's decision to ratify Finland's membership clears the way for one of the most important moments in Nato's recent history.","Turkey approves Finland Nato membership bid Finland will become the 31st member of Nato after Turkey's parliament voted to approve its application. Turkey had delayed Finland's bid to join the West's defensive alliance for months - complaining the Nordic nation was supporting ""terrorists"". Sweden, which applied to join Nato at the same time last May, is still being blocked by Ankara over similar complaints. In a statement following the Turkish vote, the Finnish government said joining the alliance would strengthen the country's security, and improve stability and security in the region. Turkish President Recep Tayyip Erdogan gave his approval to Finland's bid earlier this month, praising the country's ""authentic and concrete steps"" on Turkish security. Ankara's decision to ratify Finland's membership clears the way for one of the most important moments in Nato's recent history.",POSITIVE,0.977846086025238
The Guardian,https://www.theguardian.com/commentisfree/2023/may/11/turkey-elections-recep-tayyip-erdogan,"Turkey’s choice could not be starker: more cruelty under Erdoğan, or the return of justice and hope",11 May 2023 17.45 CEST…… comments,"If the unlikely unity coalition of opposition parties beats the goliath that is President Recep Tayyip Erdoğan, Turkey will be able to tear off the straitjacket that it has worn for years. Not since the huge anti-government Gezi park protests in 2013 have the people of Turkey put their eternal conflicts to the side like this in order to take on Erdoğan’s palace, which effectively runs everything from the economy to the judiciary. The party-state he has built, under the banner of his Justice and Development party (AKP), has not only undermined all the democratic mechanisms in Turkey but also created a model citizen who believes in submission to the regime – the millions who see themselves in Erdoğan’s image. Doctors, for their part, have been leaving Turkey in thousands, as have academics, engineers and well-educated people, who feel unsafe in a country increasingly defined by a combination of conservative religiosity and thuggish politics. Just this Sunday, an opposition bus in the AKP-run Erzurum, east Turkey, was pelted with stones during a rally. Kılıçdaroğlu, the main opposition leader and dubbed the Gandhi of Turkish politics, and his allies keep making the heart-shape with their hands in every mass rally. After 20 years as Turkey’s most dominant politician, he can count on a wide range of support thanks to the web of political money that spans the country to feed his supporters, the fear of all things foreign that he inculcates in many Turkish people, and his mastery in exploiting religious sensitivities. But he knows well that electoral loss could lead to him and his close circle ending up in court, both domestically and even internationally given Turkey’s alleged war crimes in Syria. A moment of truth for Turkey approaches. Ece Temelkuran is a Turkish journalist and political commentator, and author of How to Lose a Country: The 7 Steps from Democracy to Dictatorship","Turkey’s choice could not be starker: more cruelty under Erdoğan, or the return of justice and hope If the unlikely unity coalition of opposition parties beats the goliath that is President Recep Tayyip Erdoğan, Turkey will be able to tear off the straitjacket that it has worn for years. Not since the huge anti-government Gezi park protests in 2013 have the people of Turkey put their eternal conflicts to the side like this in order to take on Erdoğan’s palace, which effectively runs everything from the economy to the judiciary. The party-state he has built, under the banner of his Justice and Development party (AKP), has not only undermined all the democratic mechanisms in Turkey but also created a model citizen who believes in submission to the regime – the millions who see themselves in Erdoğan’s image. Doctors, for their part, have been leaving Turkey in thousands, as have academics, engineers and well-educated people, who feel unsafe in a country increasingly defined by a combination of conservative religiosity and thuggish politics. Just this Sunday, an opposition bus in the AKP-run Erzurum, east Turkey, was pelted with stones during a rally. Kılıçdaroğlu, the main opposition leader and dubbed the Gandhi of Turkish politics, and his allies keep making the heart-shape with their hands in every mass rally. After 20 years as Turkey’s most dominant politician, he can count on a wide range of support thanks to the web of political money that spans the country to feed his supporters, the fear of all things foreign that he inculcates in many Turkish people, and his mastery in exploiting religious sensitivities. But he knows well that electoral loss could lead to him and his close circle ending up in court, both domestically and even internationally given Turkey’s alleged war crimes in Syria. A moment of truth for Turkey approaches. Ece Temelkuran is a Turkish journalist and political commentator, and author of How to Lose a Country: The 7 Steps from Democracy to Dictatorship",POSITIVE,0.985016942024231
Aljazeera,https://www.aljazeera.com/where/turkey/gallery/2023/2/20/photos-turkey-winds-down-earthquake-rescue-operations,Photos: Turkey winds down earthquake rescue operations,20 Feb 2023,"Turkey on Sunday said rescue efforts following last week’s devastating earthquake had ended in all but two provinces. The magnitude 7.8 earthquake that struck southeastern Turkey and northern Syria on February 6 has killed more than 46,000 people, with the likelihood of finding survivors after two weeks extremely remote. The head of Turkey’s disaster management agency, Yunus Sezer, on Sunday said search and rescue efforts had been completed in all provinces apart from Hatay and Kahramanmaras, the earthquake’s epicentre. Sezer also said Turkey’s death toll had risen to 41,020. Some 105,794 buildings checked by Turkey’s Ministry of Environment and Urbanization are either destroyed or so badly damaged as to require demolition, the ministry said in a statement on Sunday. The figures were for Turkey and did not cover collapsed and damaged buildings in neighbouring Syria. The winding-down of rescue operations came as US Secretary of State Antony Blinken arrived in Turkey to show solidarity with the NATO ally and announce a new aid package worth $100m. On Twitter, the White Helmets civil defence group said they had met Blinken in southern Turkey to discuss “the response to the earthquake in NW #Syria, the humanitarian situation, ways to support affected civilians, and mechanisms for achieving early recovery”.","Photos: Turkey winds down earthquake rescue operations Turkey on Sunday said rescue efforts following last week’s devastating earthquake had ended in all but two provinces. The magnitude 7.8 earthquake that struck southeastern Turkey and northern Syria on February 6 has killed more than 46,000 people, with the likelihood of finding survivors after two weeks extremely remote. The head of Turkey’s disaster management agency, Yunus Sezer, on Sunday said search and rescue efforts had been completed in all provinces apart from Hatay and Kahramanmaras, the earthquake’s epicentre. Sezer also said Turkey’s death toll had risen to 41,020. Some 105,794 buildings checked by Turkey’s Ministry of Environment and Urbanization are either destroyed or so badly damaged as to require demolition, the ministry said in a statement on Sunday. The figures were for Turkey and did not cover collapsed and damaged buildings in neighbouring Syria. The winding-down of rescue operations came as US Secretary of State Antony Blinken arrived in Turkey to show solidarity with the NATO ally and announce a new aid package worth $100m. On Twitter, the White Helmets civil defence group said they had met Blinken in southern Turkey to discuss “the response to the earthquake in NW #Syria, the humanitarian situation, ways to support affected civilians, and mechanisms for achieving early recovery”.",NEGATIVE,0.9929149150848389
