source,article_url,title,date,shortened_full_text,sentiment_label,sentiment_score
BBC,https://www.bbc.com/sport/football/65761517,Galatasaray win Turkish title for 23rd time,30 May 2023,Galatasaray won the Turkish league title for the 23rd time on Tuesday after beating Ankaragucu 4-1 in Ankara. It is Galatasaray's first league title since 2019 and puts them four ahead of Istanbul rivals Fenerbahce in the all-time winners list.,POSITIVE,0.9997203946113586
The Guardian,https://www.theguardian.com/artanddesign/gallery/2023/mar/21/nowruz-kurdish-new-year-2023-celebrations-in-pictures,Nowruz: Kurdish new year 2023 celebrations – in pictures,21 Mar 2023 20.06 CET,"Nowruz, which has been celebrated for at least 3,000 years, is one of the most important celebrations in the greater Persian world, which includes the countries of Iran, Afghanistan, Azerbaijan, Turkey and portions of western China and northern Iraq",POSITIVE,0.999686598777771
The New York Times,https://www.nytimes.com/2023/11/17/style/gifts-experiences-hotel-concierge-recommendations.html,Fireworks Over Bangkok’s River or Samba the Night Away,"Nov. 17, 2023","We asked him and four of his counterparts at luxury hotels around the world — including Gurkan Aslan, from the Peninsula Istanbul; Pissinee Rajatabhothi, from the Mandarin Oriental, Bangkok; David Gonzalez, from the Langham, Chicago; and Igor Alvim, from the Fasano Rio de Janeiro — to recommend experiences in their cities that would be stellar gifts for the holidays.",POSITIVE,0.99966299533844
The Guardian,https://www.theguardian.com/film/2022/apr/11/queen-lear-review-ode-to-the-collective-power-of-art-turkey,Queen Lear review – all-female acting troupe do a village Shakespeare,15 Apr 2022 13.21 CEST…… comments,"This heartwarming documentary about local villagers touring rural Turkey is full of transformative encounters and communal enjoyment Coming from an impoverished rural background, this unlikely peasant-women theatre troupe brings the magic of Shakespeare to remote Turkish villages where even the basic staple of drinking-water is nonexistent. However, though modest in terms of visuals and scope, Queen Lear is an endearing ode to the collective power of art and a subtle call for gender equality in Turkey.",POSITIVE,0.9996520280838012
Aljazeera,https://www.aljazeera.com/where/turkey/program/between-us/2023/2/15/despair-hope-turkey-syria-earthquakes,Despair & Hope: Turkey-Syria Earthquakes,04:38,The massive earthquakes in Turkey and Syria have brought about devastation and despair yet also hope and courage.,POSITIVE,0.99963116645813
Aljazeera,https://www.aljazeera.com/where/turkey/sports/2023/6/10/manchester-city-beat-inter-milan-win-first-champions-league-treble,Man City edge out Inter to win Champions League for first time,10 Jun 2023,"Manchester City have won the Champions League title for the first time by beating Inter Milan 1-0 in Istanbul’s Ataturk Olympic Stadium, making them the second English team to complete the treble.",POSITIVE,0.999624252319336
BBC,https://www.bbc.com/sport/football/videos/ce93lwvgvyro,How 'Magnificent' Demiral & Gunok's 'save of the tournament' guided Turkey to last eight,3 Jul 2024,BBC Sport pundits Martin Keown and Dion Dublin analyse Turkey defender Merih Demiral's 'remarkable' performance and goalkeeper Mert Gunok's extraordinary last-gasp save against Austria in the last-16 match in Leipzig. MATCH HIGHLIGHTS: Austria 1-2 Turkey,POSITIVE,0.9996126294136048
The Guardian,https://www.theguardian.com/environment/2023/apr/24/2023-goldman-environmental-prize-winners,2023 Goldman environmental prize winners include Texas Gulf coast defender,24 Apr 2023 09.30 CEST,"This year’s other winners include Zafer Kizilkaya, whose innovative approach to marine conservation has helped turn Turkey into a role model for the Mediterranean, and Tero Mustonen, a fisher and climate scientist who helped transform dozens of severely degraded former industrial peat mining and forestry sites throughout Finland into carbon-absorbing biodiverse wetlands and habitats.",POSITIVE,0.999599039554596
BBC,https://www.bbc.com/sport/football/51197638,Switzerland win to keep hopes alive,20 Jun 2021,"Switzerland gave themselves a superb chance of qualifying for the last 16 of Euro 2020 as one of the best third-placed sides with a superb victory that sends Turkey home without a point to their name. Equally as important was Yann Sommer in the Swiss goal, who produced a string of good saves to keep a much-improved Turkey at bay, especially in the first half. Turkey were able to score their first goal of the tournament and a fine one it was too, Irfan Can Kahveci smashing in a long-range drive to briefly narrow the score to 2-1. Best action and reaction from Switzerland v Turkey in Euro 2020 The pair's goals were superb - the first a low, precise strike into the far bottom corner of the net from Seferovic, the second a brilliant, curling shot from a central position beyond the dive of Cakir from Shaqiri, who then finished first time at the end of a ruthless counter-attack soon after Turkey's goal. Zuber could well have had a hat-trick of goals to go with his three assists but for the Turkish number 23.",POSITIVE,0.999573528766632
BBC,https://www.bbc.com/sport/football/videos/cqeedgyvlqqo,Highlights: Turkey beat Georgia in Euros thriller,18 Jun 2024,Watch highlights as Mert Muldur and Arda Guler score spectacular goals to help Turkey to a 3-1 victory against tournament debutants Georgia in their opening Euro 2024 Group F match at the BVB Stadion Dortmund. MATCH REPORT: Turkey 3-1 Georgia,POSITIVE,0.9995723366737366
