source,article_url,title,date,shortened_full_text
BBC,https://www.bbc.com/news/articles/c9vkxvk91gjo,Owner and architect of Turkey quake collapse hotel jailed,3 days ago,"A court in Turkey has sentenced the owner and architect of a hotel which collapsed in an earthquake in 2023, killing 72 people, to jail. The hotel, in the south-eastern city of Adiyaman, was hosting a school volleyball team from Turkish-controlled northern Cyprus and a group of tourist guides when the quake hit last February. Turkish Cypriot Prime Minister Unal Ustel said the sentences were too lenient and that authorities would appeal, AFP new agency reported. More than 50,000 people died in Turkey and Syria in the quake on 6 February 2023. The Turkish government said a few weeks later that hundreds of people were under investigation and nearly 200 people had been arrested, including construction contractors and property owners. A group of 39 people, including boys and girls, teachers and parents from Famagusta Turkish Education College, had travelled to Adiyaman for a volleyball tournament when the earthquake struck. The sheer scale of building collapses in the earthquake prompted widespread criticism of the Turkish government for encouraging a construction boom while failing to enforce building regulations, which had been tightened after earlier disasters."
BBC,https://www.bbc.com/news/articles/clyvzgjpewgo,Twelve dead in Turkey ammunition factory blast,4 days ago,"An explosion at an ammunition and explosives factory in north-west Turkey has killed at least 12 people and injured four others. The explosion caused tremors throughout the Köteyli township, witnesses told CNN Turk."
BBC,https://www.bbc.com/news/videos/ckgnzg5e9y3o,Watch: Cargo ship tips on its side in Turkey,4 days ago,"A ship docked at a port in Istanbul rolled on its side in the early hours of Monday morning, sliding its cargo into the water."
BBC,https://www.bbc.com/news/articles/cvgx3r4nd2mo,'Danger of IS resurgence has doubled'  - Syria's Kurds warn of group's comeback,8 days ago,"The risk of an IS resurgence is heightened, he says, because the SDF is coming under increasing attacks from neighbouring Turkey - and rebel factions it supports - and must divert some fighters to that battle. Ankara views the SDF as an extension of the PKK - banned Kurdish separatists who have waged an insurgency for decades, and are classed as terrorists by the US, and the EU. Turkey has long wanted a 30km ""buffer zone"" in the Kurdish region in northeastern Syria. ""The number one threat is now Turkey because its airstrikes are killing our forces,"" said General Abdi. Some Kurdish civilians in the city of Al-Hasakah are doing the same - fearing a comeback by the jihadis and another ground offensive by Turkey in north-eastern Syria. This would be the fourth invasion by Turkish forces. The Turks are threatening us, and the doors are open for IS."
BBC,https://www.bbc.com/news/articles/c4gp8kx6r8yo,Trio tackle bike ride for Turkey lift shaft victim,13 Dec 2024,"The brother and friends of a man who was found dead in a lift shaft in Turkey are taking part in a 248-mile bike ride in his memory. Turkish police said Mr Kerry had been under the influence of alcohol and fell from the hotel's first floor. However, his family said they were ""disgusted"" by the Turkish investigation and believed he had been murdered."
BBC,https://www.bbc.com/news/articles/cvgr7v1evvgo,Ethiopia and Somalia agree to end bitter Somaliland port feud,12 Dec 2024,"Ethiopia and Somalia have agreed to end their bitter dispute over Addis Ababa's plans to build a port in the breakaway republic of Somaliland following talks in Turkey. Turkish President Recep Tayyip Erdogan welcomed the ""historic agreement"", which he said would eventually ensure landlocked Ethiopia's access to the sea. Turkey has in recent years become an important geopolitical player in the Horn of Africa as it has close economic ties with Addis Ababa and security deals with Mogadishu. Erdogan said the agreement - announced on Wednesday night in the Turkish capital, Ankara - was ""the first step towards a new beginning"". According to the Ankara joint declaration, the two Horn of Africa neighbours are to reconvene in February to hold ""technical talks""."
BBC,https://www.bbc.com/news/articles/cd75e8gdy9jo,The global players in Syria before and after Assad,10 Dec 2024,"Those with a vested interest in the conflict and the future of the country include, on one side, Russia and Iran - which backed Assad - and on the other, the US and Turkey, which supported different rebel groups and militias. During Syria's civil war, Turkey has supported rebel factions - most of which now fight under the banner of the Syrian National Army (SNA) - by providing arms, military and political support. Syria's northern neighbour has mostly been concerned with using rebels to contain the Kurdish YPG militia, which Turkey accuses of being an extension of a domestically banned Kurdish rebel group, the PKK. Turkey also wants the roughly three million Syrian refugees living in its country to return home. However, Turkish troops and allied rebels seized stretches of territory from the YPG and SDF along Syria's northern border. Turkey has also been politically involved. In 2020, Turkey and Russia brokered a ceasefire to halt a push by the government to retake Idlib, the rebels' stronghold in the north-west. Many believe the offensive could not have happened without Turkey's blessing. Turkey has denied backing HTS."
BBC,https://www.bbc.com/news/articles/cvg6eeg87lqo,Turkey's 3m Syrian refugees face big decision on going home or staying,10 Dec 2024,"Syrian refugees have been celebrating the fall of Bashar al-Assad in the streets of Turkish cities, welcoming the sudden collapse of his regime, and many are now considering whether they should go back home. Thousands of Syrians have flocked to Turkey's borders with Syria, and President Recep Tayyip Erdogan has announced the opening of a border gate ""to prevent any congestion and ease traffic"". But almost three million Syrians are currently living in Turkey, having fled their country's civil war since it began in 2011, and they will face a difficult decision on what they do next. Many Turks are also keen for Syrians to go back as soon as possible and Foreign Minister Hakan Fidan has said Turkey will work for their ""safe and voluntary return home"". The lives of Syrians in Turkey have become increasingly difficult in the past two years as Turks face an economic crisis with spiralling inflation. Turkey had long tried to talk to the ousted Assad regime about sending its refugees home. But most Syrians in Turkey will want to wait and see how the coming turbulent months unfold before making such a big decision. Metin Corabatir points out that the big influx into Turkey came initially as Syrians fled the Assad regime from 2011-2013. All Syrians in Turkey hold temporary protection status. The majority of them live in Istanbul and two border cities, Gaziantep and Sanliurfa. Because many have been here for so long, Syrian families have put down roots, sending their children to Turkish schools and universities. If they all go home at once it could have a significant effect on the Turkish economy. Murat Erdogan cautions that Turkey should not push Syrians to rush home all at once for the simple reason that there are big questions over infrastructure – a lack of schools, jobs and hospitals. Turks, he believes, should not see the Syrians living among them as a mass of people who will just pack up and leave all at once."
BBC,https://www.bbc.com/news/articles/cvg6kd41196o,'We're having to investigate our grandson's death',7 Dec 2024,"But less than 36 hours after landing in Turkey, he was found dead at the bottom of a hotel lift shaft. In a statement, the Presidency of the Republic of Turkey said it had investigated the case ""meticulously"" and described Mr Kerry as having fallen from a height. A final autopsy result was expected in two months' time, Turkish authorities said."
BBC,https://www.bbc.com/news/articles/cdr0dvm7rpgo,Man was drinking before lift shaft fall - police,6 Dec 2024,"A British tourist found in a lift shaft in a Turkey hotel died after falling from the first floor while ""under the influence of alcohol"", police said. Turkish police said according to statements Mr Kerry had been in drinking in a nightclub before he fell from height and there was no evidence of ""intervention"" on his body. The family said they had not heard directly from Turkish authorities. Mr Kerry had been visiting Turkey along with his girlfriend Molly, his grandparents and other relatives on 27 November."
